,ORI - Agency,Crime Against,MICR Offense,Victims,Offenses,Incidents,Arrests,Exceptional Clearance,Clearance Rate,2021 Crimes,2020 Crimes,Percent Change
1, Alcona County Sheriff's Office ,Person, Sexual Penetration Penis/Vagina CSC 1st,0,0,0,0,0,0.0,0,7,-1
2, Alcona County Sheriff's Office ,Person, Sexual Penetration Penis/Vagina CSC 3rd,1,1,1,0,0,0.0,1,0,-1
3, Alcona County Sheriff's Office ,Person, Sexual Contact Forcible CSC 2nd,1,1,1,0,0,0.0,1,8,-0.875
4, Alcona County Sheriff's Office ,Person, Sexual Contact Forcible CSC 4th,4,4,4,0,0,0.0,4,4,0
5, Alcona County Sheriff's Office ,Person, Nonaggravated Assault,56,49,49,13,0,0.2653061224489796,56,56,0
6, Alcona County Sheriff's Office ,Person, Aggravated/Felonious Assault,9,8,8,1,0,0.125,9,10,-0.1
7, Alcona County Sheriff's Office ,Person, Intimidation/Stalking,44,42,42,1,0,0.023809523809523808,44,22,1
8, Alcona County Sheriff's Office ,Person,,115,105,105,15,0,0.14285714285714285,115,107,0.07476635514018691
9, Alcona County Sheriff's Office ,Property, Robbery,0,1,1,0,0,0.0,1,0,0.07476635514018691
10, Alcona County Sheriff's Office ,Property, Burglary Forced Entry,9,9,9,0,0,0.0,9,15,-0.4
11, Alcona County Sheriff's Office ,Property, Burglary Entry Without Force (Intent),1,1,1,0,0,0.0,1,4,-0.75
12, Alcona County Sheriff's Office ,Property, Burglary Entry w/out Authorization w/or w/out Force,6,7,7,0,0,0.0,7,3,1.3333333333333333
13, Alcona County Sheriff's Office ,Property, Larceny Theft from Building,8,8,8,0,0,0.0,8,15,-0.4666666666666667
14, Alcona County Sheriff's Office ,Property, Larceny Theft from Coin Operated Machine/Device,1,1,1,0,0,0.0,1,0,-0.4666666666666667
15, Alcona County Sheriff's Office ,Property, Larceny Theft from Motor Vehicle,1,2,2,0,0,0.0,2,9,-0.7777777777777778
16, Alcona County Sheriff's Office ,Property, Larceny Theft of Motor Vehicle Parts/Accessories,2,2,2,0,0,0.0,2,2,0
17, Alcona County Sheriff's Office ,Property, Larceny Other,22,33,33,0,0,0.0,33,45,-0.26666666666666666
18, Alcona County Sheriff's Office ,Property, Motor Vehicle Theft,3,6,5,0,0,0.0,8,4,1
19, Alcona County Sheriff's Office ,Property, Motor Vehicle as Stolen Property,0,0,0,0,0,0.0,0,2,-1
20, Alcona County Sheriff's Office ,Property, Forgery/Counterfeiting,0,1,0,0,0,0.0,1,0,-1
21, Alcona County Sheriff's Office ,Property, Fraud False Pretense/Swindle/Confidence Game,16,15,15,0,0,0.0,15,11,0.36363636363636365
22, Alcona County Sheriff's Office ,Property, Fraud Credit Card/ATM,3,3,3,0,0,0.0,3,3,0
23, Alcona County Sheriff's Office ,Property, Fraud Impersonation,9,9,9,0,0,0.0,9,9,0
24, Alcona County Sheriff's Office ,Property, Fraud Wire,3,2,2,0,0,0.0,2,3,-0.3333333333333333
25, Alcona County Sheriff's Office ,Property, Fraud Bad Checks,2,5,5,0,0,0.0,5,2,1.5
26, Alcona County Sheriff's Office ,Property, Embezzlement,1,1,1,0,0,0.0,1,2,-0.5
27, Alcona County Sheriff's Office ,Property, Damage To Property,30,35,34,2,0,0.058823529411764705,35,46,-0.2391304347826087
28, Alcona County Sheriff's Office ,Property, Retail Fraud Misrepresentation,0,0,0,0,0,0.0,0,1,-1
29, Alcona County Sheriff's Office ,Property, Retail Fraud Theft,1,3,3,0,0,0.0,3,1,2
30, Alcona County Sheriff's Office ,Property,,118,144,141,2,0,0.014184397163120567,146,177,-0.1751412429378531
31, Alcona County Sheriff's Office ,Society, Violation of Controlled Substance,0,1,1,0,0,0.0,1,2,-0.5
32, Alcona County Sheriff's Office ,Society, Narcotic Equipment Violations,0,1,1,0,0,0.0,1,0,-0.5
33, Alcona County Sheriff's Office ,Society, Family Abuse/Neglect Nonviolent,22,12,11,0,0,0.0,12,8,0.5
34, Alcona County Sheriff's Office ,Society, Family Other,3,3,3,0,0,0.0,3,2,0.5
35, Alcona County Sheriff's Office ,Society, Liquor Violations Other,0,1,1,0,0,0.0,1,5,-0.8
36, Alcona County Sheriff's Office ,Society, Weapons Offense Concealed,0,2,2,2,0,1.0,2,4,-0.5
37, Alcona County Sheriff's Office ,Society, Weapons Offense Other,0,6,4,0,0,0.0,6,4,0.5
38, Alcona County Sheriff's Office ,Society, Disorderly Conduct,0,2,2,0,0,0.0,2,6,-0.6666666666666666
39, Alcona County Sheriff's Office ,Society, Public Peace Other,0,18,18,0,0,0.0,18,11,0.6363636363636364
40, Alcona County Sheriff's Office ,Society, OUIL or OUID,0,22,20,12,0,0.6,22,30,-0.26666666666666666
41, Alcona County Sheriff's Office ,Society, Trespass,19,19,18,0,0,0.0,19,25,-0.24
42, Alcona County Sheriff's Office ,Society,,44,87,81,14,0,0.1728395061728395,87,97,-0.10309278350515463
43, Alcona County Sheriff's Office ,All Other, Sex Offense Other,0,2,2,0,0,0.0,2,3,-0.3333333333333333
44, Alcona County Sheriff's Office ,All Other, Obstructing Police,0,2,0,0,0,0.0,2,10,-0.8
45, Alcona County Sheriff's Office ,All Other, Obstructing Justice,0,20,16,3,0,0.1875,20,9,1.2222222222222223
46, Alcona County Sheriff's Office ,All Other, Hit And Run Motor Vehicle Accident,10,10,10,1,0,0.1,10,6,0.6666666666666666
47, Alcona County Sheriff's Office ,All Other, Health And Safety,45,45,45,0,0,0.0,45,66,-0.3181818181818182
48, Alcona County Sheriff's Office ,All Other, Invasion of Privacy Other,0,1,0,0,0,0.0,1,0,-0.3181818181818182
49, Alcona County Sheriff's Office ,All Other, Smuggling,0,0,0,0,0,0.0,0,1,-1
50, Alcona County Sheriff's Office ,All Other, Conservation,0,6,5,0,0,0.0,6,14,-0.5714285714285714
51, Alcona County Sheriff's Office ,All Other, Juvenile Runaway,2,2,2,0,0,0.0,2,9,-0.7777777777777778
52, Alcona County Sheriff's Office ,All Other, Miscellaneous Criminal Offense,0,4,4,0,0,0.0,4,5,-0.2
53, Alcona County Sheriff's Office ,All Other,,57,92,84,4,0,0.047619047619047616,92,123,-0.25203252032520324
54, Alger County Sheriff's Office ,All Other,,23,69,67,37,0,0.5522388059701493,70,94,-0.2553191489361702
55, Alger County Sheriff's Office ,Person, Sexual Penetration Penis/Vagina CSC 3rd,0,0,0,0,0,0.0,0,2,-1
56, Alger County Sheriff's Office ,Person, Nonaggravated Assault,4,3,3,2,0,0.6666666666666666,4,8,-0.5
57, Alger County Sheriff's Office ,Person, Aggravated/Felonious Assault,3,3,3,2,0,0.6666666666666666,3,2,0.5
58, Alger County Sheriff's Office ,Person, Intimidation/Stalking,1,1,1,0,0,0.0,1,1,0
59, Alger County Sheriff's Office ,Person,,8,7,7,4,0,0.5714285714285714,8,13,-0.38461538461538464
60, Alger County Sheriff's Office ,Property, Burglary Forced Entry,1,1,1,1,0,1.0,1,0,-0.38461538461538464
61, Alger County Sheriff's Office ,Property, Burglary Entry Without Force (Intent),0,0,0,0,0,0.0,0,1,-1
62, Alger County Sheriff's Office ,Property, Larceny Pursesnatching,0,0,0,0,0,0.0,0,1,-1
63, Alger County Sheriff's Office ,Property, Larceny Theft from Building,0,2,2,1,0,0.5,2,3,-0.3333333333333333
64, Alger County Sheriff's Office ,Property, Larceny Other,4,4,4,1,0,0.25,4,3,0.3333333333333333
65, Alger County Sheriff's Office ,Property, Motor Vehicle Theft,0,0,0,0,0,0.0,0,2,-1
66, Alger County Sheriff's Office ,Property, Fraud False Pretense/Swindle/Confidence Game,3,3,3,0,0,0.0,3,1,2
67, Alger County Sheriff's Office ,Property, Fraud Impersonation,1,1,1,0,0,0.0,1,2,-0.5
68, Alger County Sheriff's Office ,Property, Stolen Property,0,1,0,0,0,0.0,1,0,-0.5
69, Alger County Sheriff's Office ,Property, Damage To Property,0,0,0,0,0,0.0,0,4,-1
70, Alger County Sheriff's Office ,Property,,9,12,11,3,0,0.2727272727272727,12,17,-0.29411764705882354
71, Alger County Sheriff's Office ,Society, Violation of Controlled Substance,0,4,4,0,0,0.0,4,4,0
72, Alger County Sheriff's Office ,Society, Obscenity,0,0,0,0,0,0.0,0,1,-1
73, Alger County Sheriff's Office ,Society, Family Nonsupport,1,1,1,1,0,1.0,1,0,-1
74, Alger County Sheriff's Office ,Society, Liquor Violations Other,0,0,0,0,0,0.0,0,1,-1
75, Alger County Sheriff's Office ,Society, Weapons Offense Concealed,0,0,0,0,0,0.0,0,1,-1
76, Alger County Sheriff's Office ,Society, Weapons Offense Other,0,2,2,2,0,1.0,2,1,1
77, Alger County Sheriff's Office ,Society, Disorderly Conduct,0,0,0,0,0,0.0,0,1,-1
78, Alger County Sheriff's Office ,Society, Public Peace Other,1,1,1,0,0,0.0,1,0,-1
79, Alger County Sheriff's Office ,Society, OUIL or OUID,0,4,4,4,0,1.0,4,4,0
80, Alger County Sheriff's Office ,Society, Trespass,1,2,2,1,0,0.5,2,0,0
81, Alger County Sheriff's Office ,Society,,3,14,14,8,0,0.5714285714285714,14,13,0.07692307692307693
82, Alger County Sheriff's Office ,All Other, Sex Offense Other,0,1,1,0,0,0.0,1,0,0.07692307692307693
83, Alger County Sheriff's Office ,All Other, Obstructing Police,0,1,1,1,0,1.0,1,2,-0.5
84, Alger County Sheriff's Office ,All Other, Obstructing Justice,0,28,27,20,0,0.7407407407407407,28,35,-0.2
85, Alger County Sheriff's Office ,All Other, Hit And Run Motor Vehicle Accident,2,2,2,1,0,0.5,2,5,-0.6
86, Alger County Sheriff's Office ,All Other, Health And Safety,1,4,4,0,0,0.0,4,1,3
87, Alger County Sheriff's Office ,All Other, Conservation,0,0,0,0,0,0.0,0,7,-1
88, Alger County Sheriff's Office ,All Other, Juvenile Runaway,0,0,0,0,0,0.0,0,1,-1
89, Alger County Sheriff's Office ,All Other,,3,36,35,22,0,0.6285714285714286,36,51,-0.29411764705882354
90, Munising Police Department   ,All Other,,32,103,97,18,6,0.24742268041237114,103,194,-0.4690721649484536
91, Munising Police Department   ,Person, Kidnapping/Abduction,0,0,0,0,0,0.0,0,1,-1
92, Munising Police Department   ,Person, Sexual Contact Forcible CSC 4th,1,1,1,0,1,1.0,1,1,0
93, Munising Police Department   ,Person, Nonaggravated Assault,7,7,7,1,1,0.2857142857142857,7,20,-0.65
94, Munising Police Department   ,Person, Aggravated/Felonious Assault,3,3,3,0,1,0.3333333333333333,3,1,2
95, Munising Police Department   ,Person, Intimidation/Stalking,3,3,3,0,0,0.0,3,0,2
96, Munising Police Department   ,Person,,14,14,14,1,3,0.2857142857142857,14,23,-0.391304347826087
97, Munising Police Department   ,Property, Burglary Forced Entry,0,1,1,0,0,0.0,1,1,0
98, Munising Police Department   ,Property, Larceny Theft from Building,1,1,1,0,0,0.0,1,1,0
99, Munising Police Department   ,Property, Larceny Theft from Motor Vehicle,2,2,2,0,0,0.0,2,4,-0.5
100, Munising Police Department   ,Property, Larceny Other,3,9,9,0,1,0.1111111111111111,9,10,-0.1
101, Munising Police Department   ,Property, Motor Vehicle Theft,2,2,2,0,0,0.0,2,2,0
102, Munising Police Department   ,Property, Fraud False Pretense/Swindle/Confidence Game,0,0,0,0,0,0.0,0,2,-1
103, Munising Police Department   ,Property, Fraud Credit Card/ATM,0,0,0,0,0,0.0,0,1,-1
104, Munising Police Department   ,Property, Fraud Welfare,1,1,1,1,0,1.0,1,0,-1
105, Munising Police Department   ,Property, Fraud Wire,0,0,0,0,0,0.0,0,1,-1
106, Munising Police Department   ,Property, Fraud Identity Theft,0,0,0,0,0,0.0,0,2,-1
107, Munising Police Department   ,Property, Embezzlement,0,0,0,0,0,0.0,0,1,-1
108, Munising Police Department   ,Property, Damage To Property,1,2,2,0,0,0.0,2,9,-0.7777777777777778
109, Munising Police Department   ,Property, Retail Fraud Theft,0,0,0,0,0,0.0,0,4,-1
110, Munising Police Department   ,Property,,10,18,18,1,1,0.1111111111111111,18,38,-0.5263157894736842
111, Munising Police Department   ,Society, Violation of Controlled Substance,0,1,1,0,0,0.0,1,2,-0.5
112, Munising Police Department   ,Society, Narcotic Equipment Violations,0,0,0,0,0,0.0,0,1,-1
113, Munising Police Department   ,Society, Family Abuse/Neglect Nonviolent,1,1,1,0,0,0.0,1,1,0
114, Munising Police Department   ,Society, Family Other,0,0,0,0,0,0.0,0,2,-1
115, Munising Police Department   ,Society, Liquor Violations Other,0,2,1,0,0,0.0,2,1,1
116, Munising Police Department   ,Society, Weapons Offense Concealed,0,0,0,0,0,0.0,0,2,-1
117, Munising Police Department   ,Society, Weapons Offense Explosives,0,0,0,0,0,0.0,0,3,-1
118, Munising Police Department   ,Society, Weapons Offense Other,0,0,0,0,0,0.0,0,2,-1
119, Munising Police Department   ,Society, Disorderly Conduct,0,6,5,0,2,0.4,6,7,-0.14285714285714285
120, Munising Police Department   ,Society, Public Peace Other,1,2,2,0,0,0.0,2,3,-0.3333333333333333
121, Munising Police Department   ,Society, OUIL or OUID,0,10,10,8,0,0.8,10,12,-0.16666666666666666
122, Munising Police Department   ,Society, Trespass,3,11,11,2,0,0.18181818181818182,11,8,0.375
123, Munising Police Department   ,Society,,5,33,31,10,2,0.3870967741935484,33,44,-0.25
124, Munising Police Department   ,All Other, Obstructing Police,1,4,1,0,0,0.0,4,8,-0.5
125, Munising Police Department   ,All Other, Obstructing Justice,0,10,9,6,0,0.6666666666666666,10,10,0
126, Munising Police Department   ,All Other, Hit And Run Motor Vehicle Accident,2,2,2,0,0,0.0,2,8,-0.75
127, Munising Police Department   ,All Other, Health And Safety,0,22,22,0,0,0.0,22,61,-0.639344262295082
128, Munising Police Department   ,All Other, Civil Rights,0,0,0,0,0,0.0,0,1,-1
129, Munising Police Department   ,All Other, Conservation,0,0,0,0,0,0.0,0,1,-1
130, Munising Police Department   ,All Other,,3,38,34,6,0,0.17647058823529413,38,89,-0.5730337078651685
131, MSP Wayland ,All Other,,927,1629,1433,587,182,0.5366364270760642,1712,2203,-0.22287789378120745
132, MSP Wayland ,Person, Murder/Nonnegligent Manslaughter (Voluntary),3,3,3,1,0,0.3333333333333333,3,1,2
133, MSP Wayland ,Person, Kidnapping/Abduction,0,1,0,0,0,0.0,0,1,-1
134, MSP Wayland ,Person, Parental Kidnapping,2,1,1,1,0,1.0,2,2,0
135, MSP Wayland ,Person, Sexual Penetration Penis/Vagina CSC 1st,24,21,21,7,0,0.3333333333333333,24,25,-0.04
136, MSP Wayland ,Person, Sexual Penetration Penis/Vagina CSC 3rd,11,10,10,2,4,0.6,11,9,0.2222222222222222
137, MSP Wayland ,Person, Sexual Penetration Oral/Anal CSC 1st,12,7,7,3,1,0.5714285714285714,12,9,0.3333333333333333
138, MSP Wayland ,Person, Sexual Penetration Oral/Anal CSC 3rd,2,2,2,1,0,0.5,2,0,0.3333333333333333
139, MSP Wayland ,Person, Sexual Penetration Object CSC 1st,4,2,2,2,0,1.0,4,4,0
140, MSP Wayland ,Person, Sexual Penetration Object CSC 3rd,0,0,0,0,0,0.0,0,1,-1
141, MSP Wayland ,Person, Sexual Contact Forcible CSC 2nd,20,17,16,6,3,0.5625,20,15,0.3333333333333333
142, MSP Wayland ,Person, Sexual Contact Forcible CSC 4th,24,21,20,7,4,0.55,24,11,1.1818181818181819
143, MSP Wayland ,Person, Nonaggravated Assault,239,202,198,89,65,0.7777777777777778,239,235,0.01702127659574468
144, MSP Wayland ,Person, Aggravated/Felonious Assault,50,44,43,30,7,0.8604651162790697,50,51,-0.0196078431372549
145, MSP Wayland ,Person, Intimidation/Stalking,31,31,31,5,11,0.5161290322580645,31,32,-0.03125
146, MSP Wayland ,Person, Sexual Penetration Nonforcible Other,0,0,0,0,0,0.0,0,1,-1
147, MSP Wayland ,Person,,422,362,354,154,95,0.7033898305084746,422,397,0.06297229219143577
