ORI - Agency,Crime Against,MICR Offense,Offenses
 Alcona County Sheriff's Office ,Person, Sexual Penetration Penis/Vagina CSC 1st,0
 Alcona County Sheriff's Office ,Person, Sexual Penetration Penis/Vagina CSC 3rd,1
 Alcona County Sheriff's Office ,Person, Sexual Contact Forcible CSC 2nd,1
 Alcona County Sheriff's Office ,Person, Sexual Contact Forcible CSC 4th,4
 Alcona County Sheriff's Office ,Person, Nonaggravated Assault,49
 Alcona County Sheriff's Office ,Person, Aggravated/Felonious Assault,8
 Alcona County Sheriff's Office ,Person, Intimidation/Stalking,42
 Alcona County Sheriff's Office ,Person,,105
 Alcona County Sheriff's Office ,Property, Robbery,1
 Alcona County Sheriff's Office ,Property, Burglary Forced Entry,9
 Alcona County Sheriff's Office ,Property, Burglary Entry Without Force (Intent),1
 Alcona County Sheriff's Office ,Property, Burglary Entry w/out Authorization w/or w/out Force,7
 Alcona County Sheriff's Office ,Property, Larceny Theft from Building,8
 Alcona County Sheriff's Office ,Property, Larceny Theft from Coin Operated Machine/Device,1
 Alcona County Sheriff's Office ,Property, Larceny Theft from Motor Vehicle,2
 Alcona County Sheriff's Office ,Property, Larceny Theft of Motor Vehicle Parts/Accessories,2
 Alcona County Sheriff's Office ,Property, Larceny Other,33
 Alcona County Sheriff's Office ,Property, Motor Vehicle Theft,6
 Alcona County Sheriff's Office ,Property, Motor Vehicle as Stolen Property,0
 Alcona County Sheriff's Office ,Property, Forgery/Counterfeiting,1
 Alcona County Sheriff's Office ,Property, Fraud False Pretense/Swindle/Confidence Game,15
 Alcona County Sheriff's Office ,Property, Fraud Credit Card/ATM,3
 Alcona County Sheriff's Office ,Property, Fraud Impersonation,9
 Alcona County Sheriff's Office ,Property, Fraud Wire,2
 Alcona County Sheriff's Office ,Property, Fraud Bad Checks,5
 Alcona County Sheriff's Office ,Property, Embezzlement,1
 Alcona County Sheriff's Office ,Property, Damage To Property,35
 Alcona County Sheriff's Office ,Property, Retail Fraud Misrepresentation,0
 Alcona County Sheriff's Office ,Property, Retail Fraud Theft,3
 Alcona County Sheriff's Office ,Property,,144
 Alcona County Sheriff's Office ,Society, Violation of Controlled Substance,1
 Alcona County Sheriff's Office ,Society, Narcotic Equipment Violations,1
 Alcona County Sheriff's Office ,Society, Family Abuse/Neglect Nonviolent,12
 Alcona County Sheriff's Office ,Society, Family Other,3
 Alcona County Sheriff's Office ,Society, Liquor Violations Other,1
 Alcona County Sheriff's Office ,Society, Weapons Offense Concealed,2
 Alcona County Sheriff's Office ,Society, Weapons Offense Other,6
 Alcona County Sheriff's Office ,Society, Disorderly Conduct,2
 Alcona County Sheriff's Office ,Society, Public Peace Other,18
 Alcona County Sheriff's Office ,Society, OUIL or OUID,22
 Alcona County Sheriff's Office ,Society, Trespass,19
 Alcona County Sheriff's Office ,Society,,87
 Alcona County Sheriff's Office ,All Other, Sex Offense Other,2
 Alcona County Sheriff's Office ,All Other, Obstructing Police,2
 Alcona County Sheriff's Office ,All Other, Obstructing Justice,20
 Alcona County Sheriff's Office ,All Other, Hit And Run Motor Vehicle Accident,10
 Alcona County Sheriff's Office ,All Other, Health And Safety,45
 Alcona County Sheriff's Office ,All Other, Invasion of Privacy Other,1
 Alcona County Sheriff's Office ,All Other, Smuggling,0
 Alcona County Sheriff's Office ,All Other, Conservation,6
 Alcona County Sheriff's Office ,All Other, Juvenile Runaway,2
 Alcona County Sheriff's Office ,All Other, Miscellaneous Criminal Offense,4
 Alcona County Sheriff's Office ,All Other,,92
 Alger County Sheriff's Office ,All Other,,69
 Alger County Sheriff's Office ,Person, Sexual Penetration Penis/Vagina CSC 3rd,0
 Alger County Sheriff's Office ,Person, Nonaggravated Assault,3
 Alger County Sheriff's Office ,Person, Aggravated/Felonious Assault,3
 Alger County Sheriff's Office ,Person, Intimidation/Stalking,1
 Alger County Sheriff's Office ,Person,,7
 Alger County Sheriff's Office ,Property, Burglary Forced Entry,1
 Alger County Sheriff's Office ,Property, Burglary Entry Without Force (Intent),0
 Alger County Sheriff's Office ,Property, Larceny Pursesnatching,0
 Alger County Sheriff's Office ,Property, Larceny Theft from Building,2
 Alger County Sheriff's Office ,Property, Larceny Other,4
 Alger County Sheriff's Office ,Property, Motor Vehicle Theft,0
 Alger County Sheriff's Office ,Property, Fraud False Pretense/Swindle/Confidence Game,3
 Alger County Sheriff's Office ,Property, Fraud Impersonation,1
 Alger County Sheriff's Office ,Property, Stolen Property,1
 Alger County Sheriff's Office ,Property, Damage To Property,0
 Alger County Sheriff's Office ,Property,,12
 Alger County Sheriff's Office ,Society, Violation of Controlled Substance,4
 Alger County Sheriff's Office ,Society, Obscenity,0
 Alger County Sheriff's Office ,Society, Family Nonsupport,1
 Alger County Sheriff's Office ,Society, Liquor Violations Other,0
 Alger County Sheriff's Office ,Society, Weapons Offense Concealed,0
 Alger County Sheriff's Office ,Society, Weapons Offense Other,2
 Alger County Sheriff's Office ,Society, Disorderly Conduct,0
 Alger County Sheriff's Office ,Society, Public Peace Other,1
 Alger County Sheriff's Office ,Society, OUIL or OUID,4
 Alger County Sheriff's Office ,Society, Trespass,2
 Alger County Sheriff's Office ,Society,,14
 Alger County Sheriff's Office ,All Other, Sex Offense Other,1
 Alger County Sheriff's Office ,All Other, Obstructing Police,1
 Alger County Sheriff's Office ,All Other, Obstructing Justice,28
 Alger County Sheriff's Office ,All Other, Hit And Run Motor Vehicle Accident,2
 Alger County Sheriff's Office ,All Other, Health And Safety,4
 Alger County Sheriff's Office ,All Other, Conservation,0
 Alger County Sheriff's Office ,All Other, Juvenile Runaway,0
 Alger County Sheriff's Office ,All Other,,36
 Munising Police Department   ,All Other,,103
 Munising Police Department   ,Person, Kidnapping/Abduction,0
 Munising Police Department   ,Person, Sexual Contact Forcible CSC 4th,1
 Munising Police Department   ,Person, Nonaggravated Assault,7
 Munising Police Department   ,Person, Aggravated/Felonious Assault,3
 Munising Police Department   ,Person, Intimidation/Stalking,3
 Munising Police Department   ,Person,,14
 Munising Police Department   ,Property, Burglary Forced Entry,1
 Munising Police Department   ,Property, Larceny Theft from Building,1
 Munising Police Department   ,Property, Larceny Theft from Motor Vehicle,2
 Munising Police Department   ,Property, Larceny Other,9
 Munising Police Department   ,Property, Motor Vehicle Theft,2
 Munising Police Department   ,Property, Fraud False Pretense/Swindle/Confidence Game,0
 Munising Police Department   ,Property, Fraud Credit Card/ATM,0
 Munising Police Department   ,Property, Fraud Welfare,1
 Munising Police Department   ,Property, Fraud Wire,0
 Munising Police Department   ,Property, Fraud Identity Theft,0
 Munising Police Department   ,Property, Embezzlement,0
 Munising Police Department   ,Property, Damage To Property,2
 Munising Police Department   ,Property, Retail Fraud Theft,0
 Munising Police Department   ,Property,,18
 Munising Police Department   ,Society, Violation of Controlled Substance,1
 Munising Police Department   ,Society, Narcotic Equipment Violations,0
 Munising Police Department   ,Society, Family Abuse/Neglect Nonviolent,1
 Munising Police Department   ,Society, Family Other,0
 Munising Police Department   ,Society, Liquor Violations Other,2
 Munising Police Department   ,Society, Weapons Offense Concealed,0
 Munising Police Department   ,Society, Weapons Offense Explosives,0
 Munising Police Department   ,Society, Weapons Offense Other,0
 Munising Police Department   ,Society, Disorderly Conduct,6
 Munising Police Department   ,Society, Public Peace Other,2
 Munising Police Department   ,Society, OUIL or OUID,10
 Munising Police Department   ,Society, Trespass,11
 Munising Police Department   ,Society,,33
 Munising Police Department   ,All Other, Obstructing Police,4
 Munising Police Department   ,All Other, Obstructing Justice,10
 Munising Police Department   ,All Other, Hit And Run Motor Vehicle Accident,2
 Munising Police Department   ,All Other, Health And Safety,22
 Munising Police Department   ,All Other, Civil Rights,0
 Munising Police Department   ,All Other, Conservation,0
 Munising Police Department   ,All Other,,38
 MSP Wayland ,All Other,,1629
 MSP Wayland ,Person, Murder/Nonnegligent Manslaughter (Voluntary),3
 MSP Wayland ,Person, Kidnapping/Abduction,1
 MSP Wayland ,Person, Parental Kidnapping,1
 MSP Wayland ,Person, Sexual Penetration Penis/Vagina CSC 1st,21
 MSP Wayland ,Person, Sexual Penetration Penis/Vagina CSC 3rd,10
 MSP Wayland ,Person, Sexual Penetration Oral/Anal CSC 1st,7
 MSP Wayland ,Person, Sexual Penetration Oral/Anal CSC 3rd,2
 MSP Wayland ,Person, Sexual Penetration Object CSC 1st,2
 MSP Wayland ,Person, Sexual Penetration Object CSC 3rd,0
 MSP Wayland ,Person, Sexual Contact Forcible CSC 2nd,17
 MSP Wayland ,Person, Sexual Contact Forcible CSC 4th,21
 MSP Wayland ,Person, Nonaggravated Assault,202
 MSP Wayland ,Person, Aggravated/Felonious Assault,44
